"idempresa","empresa","direccion","localidad","provincia","idproducto","producto","precio","fecha_vigencia","empresabandera","fecha"
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$46.21,"30/04/2019 06:00","YPF",201904
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$42.54,01/03/19 12:00 AM,"YPF",201903
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$42.54,01/03/19 12:00 AM,"YPF",201903
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$44.48,"31/03/2019 00:00","YPF",201903
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$44.48,"31/03/2019 00:00","YPF",201903
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$41.38,05/02/19 12:00 AM,"YPF",201902
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$41.38,05/02/19 12:00 AM,"YPF",201902
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$40.69,07/01/19 12:00 AM,"YPF",201901
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$40.69,07/01/19 12:00 AM,"YPF",201901
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$41.03,03/12/18 12:00 AM,"YPF",201812
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$41.03,03/12/18 12:00 AM,"YPF",201812
