Año,Mes,Operador,Motivo de reclamo,Número de reclamos
2018,11,Arnet S.A.,Problemas Técnicos,7
2018,11,DIRECT TV Argentina S.A.L,Facturación,6
2018,11,DIRECT TV Argentina S.A.L,Gestiones Administrativas,17
2018,11,DIRECT TV Argentina S.A.L,Otros,3
2018,11,DIRECT TV Argentina S.A.L,Problemas Técnicos,1
2018,11,Fibertel S.A. (TCI),Gestiones Administrativas,2
2018,11,Fibertel S.A. (TCI),Otros,1
2018,11,Fibertel S.A. (TCI),Problemas Técnicos,9
2018,11,Movistar - Telefonica Moviles Argentina S.A.,Facturación,31
2018,11,Movistar - Telefonica Moviles Argentina S.A.,Gestiones Administrativas,28
2018,11,Movistar - Telefonica Moviles Argentina S.A.,Otros,33
2018,11,Movistar - Telefonica Moviles Argentina S.A.,Problemas Técnicos,26
2018,11,Otros,Facturación,14
2018,11,Otros,Gestiones Administrativas,15
2018,11,Otros,Otros,3
2018,11,Otros,Problemas Técnicos,67
2018,11,SION S.A.,Problemas Técnicos,1
2018,11,TELECENTRO S.A.,Facturación,9
2018,11,TELECENTRO S.A.,Gestiones Administrativas,12
2018,11,TELECENTRO S.A.,Otros,4
2018,11,TELECENTRO S.A.,Problemas Técnicos,50
2018,11,Telecom Argentina S.A.,Facturación,94
2018,11,Telecom Argentina S.A.,Gestiones Administrativas,129
2018,11,Telecom Argentina S.A.,Otros,30
2018,11,Telecom Argentina S.A.,Problemas Técnicos,714
2018,11,Telefonica de Argentina S.A.,Facturación,119
2018,11,Telefonica de Argentina S.A.,Gestiones Administrativas,205
2018,11,Telefonica de Argentina S.A.,Otros,7
2018,11,Telefonica de Argentina S.A.,Problemas Técnicos,597
2018,11,TELMEX Argentina S.A.,Facturación,1
2018,10,Advance Telecomunicaciones S.A. (Speedy),Facturación,2
2018,10,Advance Telecomunicaciones S.A. (Speedy),Problemas Técnicos,5
2018,10,AMX Argentina S.A. (Claro),Facturación,15
2018,10,AMX Argentina S.A. (Claro),Gestiones Administrativas,9
2018,10,AMX Argentina S.A. (Claro),Otros,9
2018,10,AMX Argentina S.A. (Claro),Problemas Técnicos,25
2018,10,Arnet S.A.,Problemas Técnicos,6
2018,10,DIRECT TV Argentina S.A.L,Facturación,6
2018,10,DIRECT TV Argentina S.A.L,Gestiones Administrativas,18
2018,10,DIRECT TV Argentina S.A.L,Problemas Técnicos,1
2018,10,Fibertel S.A. (TCI),Facturación,1
2018,10,Fibertel S.A. (TCI),Gestiones Administrativas,3
2018,10,Fibertel S.A. (TCI),Otros,5
